"","Construction","Russian","Arabic","Guarani","Estonian","Tsaxur","Tuvan","Ingerm","Basque","French","German","Bagwalal","Japanese","Lithuanian","Kalmyk","Khmer","Bashkir","Latvian","Guro","Looma","Lezgi","GreekModern","GreekAncientr","Albanian","Spanish","Irish","Armenian","Azerbaijani","RomaniKalderash","English","MandarinChinese","Polish","Dutch","Italian","Komi.Zyrian","Ossetic","Serbian","Chukchee","NorwegianBokmål"
"53","punish","tr","tr","tr","intr","unknown","intr","intr","tr","tr","tr","unknown","tr","tr","tr","intr","tr","tr","unknown","intr","tr","tr","tr","tr","tr","intr","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr"
"54","attack","intr","tr","tr","intr","unknown","intr","intr","intr","intr","tr","unknown","tr","tr","intr","unknown","intr","intr","intr","tr","intr","intr","intr","tr","tr","tr","intr","intr","intr","tr","tr","intr","tr","tr","intr","intr","tr","tr","tr"
"55","fill#intr#","intr","intr","unknown","intr","unknown","intr","intr","intr","intr","intr","intr","intr","intr","intr","tr","intr","intr","intr","intr","intr","tr","intr","intr","intr","intr","intr","intr","intr","intr","unknown","intr","intr","intr","intr","intr","intr","intr","intr"
"56","find","tr","tr","tr","tr","intr","tr","tr","tr","tr","tr","intr","tr","tr","tr","unknown","tr","tr","tr","tr","intr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","tr","unknown","tr","tr","tr","tr"
"57","be_shortr","intr","intr","intr","unknown","unknown","intr","unknown","intr","intr","intr","intr","intr","intr","unknown","tr","unknown","intr","unknown","unknown","intr","intr","intr","intr","intr","unknown","intr","intr","intr","tr","tr","intr","tr","intr","intr","intr","intr","intr","tr"
"58","hate","tr","tr","unknown","unknown","unknown","tr","intr","tr","tr","tr","intr","unknown","intr","unknown","unknown","unknown","tr","unknown","tr","intr","tr","tr","tr","tr","intr","tr","intr","tr","tr","tr","intr","tr","tr","tr","intr","tr","tr","tr"
"59","like","intr","tr","unknown","unknown","intr","intr","intr","intr","intr","intr","intr","intr","intr","intr","unknown","unknown","intr","intr","intr","intr","intr","intr","intr","intr","intr","tr","intr","intr","tr","tr","intr","unknown","intr","intr","intr","intr","tr","tr"
"60","need","intr","intr","intr","intr","unknown","intr","intr","tr","intr","tr","unknown","intr","intr","intr","tr","intr","intr","unknown","intr","intr","tr","intr","intr","tr","intr","intr","intr","intr","tr","tr","intr","unknown","intr","intr","unknown","intr","tr","tr"
"61","surround","tr","tr","unknown","intr","unknown","tr","intr","tr","tr","tr","unknown","tr","tr","tr","unknown","tr","tr","intr","unknown","tr","tr","tr","tr","tr","unknown","tr","tr","tr","tr","tr","tr","tr","tr","tr","unknown","intr","tr","tr"
"62","remain","intr","intr","intr","unknown","intr","intr","intr","intr","intr","unknown","unknown","intr","intr","intr","tr","intr","intr","unknown","intr","intr","intr","intr","intr","intr","intr","unknown","intr","intr","unknown","tr","intr","tr","intr","intr","intr","intr","intr","unknown"
